T2M,PS,WS10M
15.29,103.07,5.6
16.73,101.64,5.91
19.24,101.06,4.8
19.2,101.41,3.18
19.08,101.79,3.64
20.06,101.71,3.95
21.33,101.27,4.74
20.94,101.17,5.79
20.95,100.91,5.84
19.26,100.5,8.49
18.95,101.14,4.62
16.41,101.4,4.61
15.7,102.07,2.94
16.33,102.11,4.2
16.57,101.87,3.62
17.35,101.7,4.43
18.83,100.61,7.73
15.44,101.38,6.94
15.76,102.03,4.35
18.29,101.47,7.16
17.28,101.78,5.88
14.49,101.84,10.62
16.08,100.97,7.74
15.34,101.39,4.81
17.22,101.48,7.06
15.16,101.63,6.67
12.04,102.44,4.88
14.55,102.88,4.24
15.56,102.52,3.47
17.27,102.25,2.8
17.84,102.28,3.63
17.94,102.21,1.88
17.23,101.94,2.14
16.32,101.33,4.56
10.88,102.15,6.16
15.1,101.88,5.24
14.34,101.95,3.02
15.17,101.49,3.7
12.65,100.53,6.73
7.15,101.17,8.9
5.91,102.97,3.41
11.0,101.38,7.02
6.3,100.94,10.43
9.05,101.69,7.93
12.57,102.92,5.09
14.02,102.81,4.45
14.26,102.38,4.41
14.24,102.35,3.58
14.34,102.62,2.51
14.94,102.5,2.97
15.26,102.12,4.93
16.94,101.52,6.59
13.23,101.43,6.4
10.7,101.42,5.02
9.09,102.01,5.08
12.3,101.54,8.96
9.92,101.3,7.05
6.88,101.47,6.73
2.48,102.98,7.39
5.61,103.28,5.74
11.12,102.61,7.63
11.41,102.6,4.34
10.86,102.59,7.06
10.48,101.41,8.32
7.12,102.57,4.66
10.56,102.52,5.55
13.91,101.58,5.95
11.35,101.58,3.41
9.18,101.49,4.52
8.1,101.94,4.13
14.14,100.32,10.29
9.22,100.2,8.01
5.26,101.4,8.62
6.37,102.16,6.63
9.09,101.64,6.01
6.58,100.47,9.86
3.33,100.92,8.75
2.44,100.78,4.52
1.62,100.78,7.19
3.15,100.95,6.38
5.46,101.71,5.32
8.04,102.08,4.84
10.23,101.67,4.14
10.26,101.37,5.13
4.63,101.28,5.28
2.3,102.38,6.48
1.62,102.33,9.95
0.64,101.14,10.89
-0.99,102.41,6.57
-0.99,102.76,3.12
3.47,101.97,2.85
4.04,100.93,3.91
4.51,101.08,6.57
4.14,102.66,4.75
11.17,101.66,10.64
8.44,100.15,11.6
-0.9,101.28,8.63
1.08,102.39,3.94
6.09,102.04,6.41
2.2,102.8,7.23
3.11,102.7,5.71
5.69,102.05,6.81
