tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
8.4,6.7,10.0,2.8,0.0,60.0,9.8,,1014.1,
6.7,5.6,7.8,0.8,0.0,105.0,11.7,,1016.2,
8.7,4.4,14.4,0.0,0.0,20.0,13.1,,1009.5,
10.0,4.4,16.1,0.0,0.0,321.0,5.4,,1005.8,
10.2,7.8,11.7,1.3,0.0,339.0,8.3,,1005.4,
11.0,8.3,16.1,0.0,0.0,54.0,10.7,,1015.1,
11.3,7.8,18.3,0.0,0.0,307.0,6.3,,1016.9,
13.7,10.0,18.3,1.5,0.0,342.0,8.5,,1016.0,
14.0,10.0,18.9,0.0,0.0,226.0,9.3,,1012.4,
14.2,10.0,19.4,5.6,0.0,281.0,7.8,,1001.7,
10.9,8.3,14.4,1.5,0.0,244.0,7.3,,996.0,
7.2,4.4,9.4,0.0,0.0,277.0,14.6,,997.6,
9.2,4.4,13.9,0.0,0.0,280.0,10.1,,1012.5,
12.3,7.8,18.3,0.0,0.0,81.0,7.0,,1020.7,
14.6,12.2,18.3,42.9,0.0,190.0,16.4,,1008.0,
11.8,8.9,16.1,0.0,0.0,277.0,9.5,,1016.4,
9.5,6.1,12.8,0.0,0.0,285.0,10.7,,1014.7,
8.2,5.0,11.1,0.0,0.0,276.0,14.2,,1018.7,
6.5,3.3,10.0,1.8,0.0,248.0,14.6,,1022.9,
7.5,6.7,8.9,4.1,0.0,351.0,10.4,,1009.8,
10.4,4.4,16.1,0.0,0.0,255.0,16.5,,1011.5,
11.9,9.4,13.9,0.0,0.0,7.0,6.9,,1004.7,
10.2,6.7,15.0,4.3,0.0,226.0,11.0,,1002.4,
7.7,3.3,12.8,0.0,0.0,289.0,10.1,,1011.3,
7.6,5.6,11.7,3.6,0.0,329.0,5.9,,1017.5,
8.5,6.7,10.0,15.0,0.0,35.0,16.1,,1008.4,
11.8,7.8,18.3,0.0,0.0,259.0,6.4,,1017.2,
9.3,7.2,10.6,2.8,0.0,51.0,20.1,,1012.1,
7.8,5.6,10.6,0.0,0.0,356.0,8.2,,1012.9,
11.8,5.6,19.4,0.0,0.0,330.0,7.5,,1019.8,
10.8,8.9,13.3,0.3,0.0,51.0,19.9,,1022.8,
12.5,10.6,15.0,11.9,0.0,75.0,20.6,,1016.7,
14.6,11.7,19.4,3.0,0.0,39.0,4.6,,1006.5,
17.3,11.1,23.3,0.0,0.0,298.0,6.5,,1013.3,
18.9,12.8,26.1,1.3,0.0,260.0,11.0,,1008.1,
17.7,11.1,22.8,0.0,0.0,325.0,7.0,,1006.1,
13.1,8.3,18.3,0.0,0.0,299.0,7.2,,1012.5,
10.5,8.3,12.8,3.8,0.0,36.0,14.2,,1010.6,
13.9,8.3,20.6,0.0,0.0,271.0,12.9,,1008.1,
10.5,7.8,15.6,10.9,0.0,350.0,7.7,,1008.5,
6.0,2.2,9.4,0.0,0.0,289.0,10.3,,1010.8,
11.1,4.4,17.8,0.0,0.0,260.0,23.9,,1017.8,
12.0,8.9,16.1,1.0,0.0,252.0,12.4,,1011.8,
11.6,7.2,16.7,0.0,0.0,294.0,6.7,,1016.6,
11.9,6.1,18.9,0.0,0.0,311.0,8.6,,1025.0,
14.9,10.0,18.9,0.0,0.0,296.0,7.1,,1024.3,
21.1,15.6,27.2,0.5,0.0,260.0,13.7,,1013.9,
21.0,17.8,25.0,0.0,0.0,303.0,5.7,,1016.6,
15.6,13.3,18.9,0.0,0.0,118.0,13.5,,1024.9,
16.3,13.3,20.6,0.0,0.0,52.0,13.7,,1021.0,
15.7,12.8,19.4,0.0,0.0,47.0,24.1,,1023.9,
14.2,11.1,18.9,0.0,0.0,64.0,18.6,,1030.2,
14.1,10.0,19.4,0.0,0.0,115.0,9.5,,1029.0,
17.6,12.8,24.4,0.8,0.0,305.0,4.6,,1021.5,
16.4,13.9,19.4,20.1,0.0,32.0,14.1,,1016.6,
15.6,12.2,21.1,0.0,0.0,54.0,16.8,,1024.0,
17.0,13.3,22.8,0.0,0.0,34.0,9.1,,1023.3,
18.0,14.4,23.9,0.0,0.0,245.0,8.1,,1023.2,
18.5,15.0,24.4,0.0,0.0,321.0,5.7,,1023.7,
20.0,16.7,23.9,0.0,0.0,110.0,6.9,,1021.5,
22.8,18.3,27.2,0.0,0.0,186.0,5.6,,1015.6,
23.4,19.4,28.3,0.8,0.0,276.0,9.2,,1012.0,
18.8,14.4,22.8,0.0,0.0,326.0,7.2,,1017.6,
17.4,11.7,23.3,0.0,0.0,317.0,8.5,,1021.8,
19.3,15.0,23.3,3.6,0.0,268.0,9.9,,1015.4,
21.0,16.1,26.1,20.3,0.0,265.0,11.7,,1005.1,
23.8,19.4,30.6,3.3,0.0,253.0,6.9,,1010.5,
22.5,20.0,28.3,4.8,0.0,264.0,7.9,,1012.5,
24.8,21.0,30.0,0.0,0.0,259.0,5.2,,1008.2,
22.4,17.8,26.7,0.0,0.0,328.0,7.0,,1012.0,
21.8,17.2,27.8,0.0,0.0,319.0,8.3,,1016.0,
24.5,18.3,30.6,0.0,0.0,247.0,10.4,,1013.9,
24.4,21.7,28.3,0.0,0.0,138.0,10.6,,1014.7,
23.4,21.7,27.2,2.0,0.0,250.0,9.6,,1015.6,
25.0,20.6,29.4,0.0,0.0,265.0,7.4,,1017.9,
21.0,16.7,25.6,0.0,0.0,337.0,9.6,,1021.5,
18.9,14.4,24.4,0.0,0.0,70.0,13.1,,1027.8,
19.6,17.2,23.3,0.0,0.0,77.0,13.8,,1029.1,
20.5,17.2,25.0,0.0,0.0,54.0,12.5,,1028.0,
20.6,17.8,26.1,0.0,0.0,61.0,16.1,,1024.6,
21.0,18.9,24.4,0.3,0.0,97.0,11.7,,1021.9,
22.3,18.3,27.2,0.0,0.0,212.0,8.5,,1020.1,
24.2,20.6,29.4,0.0,0.0,256.0,7.1,,1017.9,
24.8,20.6,30.0,0.0,0.0,240.0,6.2,,1016.0,
26.1,21.7,32.2,0.0,0.0,200.0,9.3,,1014.0,
25.6,22.8,28.9,0.0,0.0,159.0,9.0,,1008.9,
26.4,23.3,30.0,0.0,0.0,268.0,12.8,,1006.5,
25.1,22.2,29.4,0.0,0.0,232.0,8.6,,1014.2,
25.5,20.6,30.6,0.0,0.0,264.0,8.8,,1014.0,
24.1,21.7,26.1,2.5,0.0,263.0,8.0,,1009.1,
25.8,22.2,31.1,0.0,0.0,243.0,7.9,,1006.9,
25.3,21.7,31.7,0.0,0.0,338.0,6.3,,1009.2,
23.1,20.6,27.2,36.6,0.0,34.0,5.9,,1012.1,
22.8,19.4,25.6,5.8,0.0,3.0,9.0,,1011.7,
26.4,21.1,32.2,0.0,0.0,330.0,11.5,,1009.9,
27.8,23.3,32.8,28.2,0.0,329.0,6.2,,1010.1,
24.6,21.1,31.1,0.0,0.0,87.0,10.7,,1013.1,
26.9,22.2,33.9,0.0,0.0,254.0,6.6,,1014.0,
26.1,22.2,33.9,14.7,0.0,282.0,8.6,,1016.7,
25.0,22.8,27.8,0.0,0.0,117.0,11.8,,1019.1,
25.8,23.9,30.0,29.2,0.0,268.0,5.6,,1016.2,
26.7,23.3,31.7,0.0,0.0,234.0,8.5,,1015.6,
24.3,23.3,25.6,70.6,0.0,52.0,19.8,,1010.4,
26.1,23.3,30.6,22.6,0.0,222.0,14.1,,1005.3,
27.3,22.8,32.2,0.0,0.0,261.0,14.9,,1006.4,
27.2,22.8,32.2,1.3,0.0,262.0,9.7,,1008.9,
27.0,22.2,31.7,0.0,0.0,314.0,7.3,,1014.0,
25.0,22.8,28.9,0.0,0.0,92.0,12.9,,1021.5,
23.5,21.7,26.1,0.0,0.0,136.0,13.1,,1025.7,
24.9,21.1,31.1,1.8,0.0,204.0,8.3,,1020.0,
28.3,23.9,35.0,0.0,0.0,316.0,4.3,,1017.4,
29.0,24.4,35.0,0.0,0.0,231.0,10.5,,1013.7,
30.4,26.7,35.0,0.0,0.0,267.0,9.5,,1010.9,
29.4,26.7,33.9,0.0,0.0,261.0,6.3,,1015.7,
27.8,23.3,34.4,24.9,0.0,281.0,6.9,,1016.3,
26.6,23.3,31.7,0.0,0.0,244.0,11.6,,1016.5,
25.0,23.3,26.7,54.4,0.0,38.0,10.4,,1018.0,
27.5,23.9,32.2,0.0,0.0,253.0,7.6,,1018.6,
29.5,25.0,34.4,0.0,0.0,249.0,12.5,,1015.4,
30.3,25.6,35.0,0.0,0.0,253.0,13.2,,1010.2,
29.8,26.7,33.3,3.6,0.0,262.0,10.8,,1008.9,
29.0,25.0,32.8,0.0,0.0,282.0,5.9,,1012.5,
29.2,25.6,33.3,0.0,0.0,259.0,8.2,,1010.9,
24.7,22.2,28.3,27.9,0.0,14.0,8.2,,1009.9,
27.2,23.3,32.8,0.0,0.0,240.0,8.3,,1013.4,
28.1,25.0,32.2,0.0,0.0,169.0,13.1,,1012.9,
28.4,23.9,32.8,8.6,0.0,258.0,12.4,,1015.8,
25.1,22.2,27.2,18.3,0.0,20.0,19.1,,1011.3,
27.3,23.9,31.7,0.0,0.0,258.0,11.5,,1015.7,
25.5,23.9,28.3,0.0,0.0,7.0,7.5,,1019.3,
24.2,21.1,27.2,15.2,0.0,62.0,11.4,,1019.9,
25.1,22.8,30.6,0.0,0.0,57.0,8.2,,1020.6,
26.4,22.8,31.1,0.0,0.0,220.0,9.8,,1019.5,
28.4,24.0,33.3,0.0,0.0,230.0,12.6,,1016.0,
28.0,25.0,31.7,1.0,0.0,229.0,9.1,,1014.7,
27.8,25.6,33.3,0.0,0.0,223.0,9.4,,1015.8,
25.5,23.3,26.1,12.4,0.0,42.0,8.6,,1018.5,
27.3,23.9,31.7,0.0,0.0,48.0,13.8,,1016.1,
25.8,23.3,30.0,0.0,0.0,44.0,17.6,,1016.0,
21.4,20.6,22.8,3.6,0.0,33.0,19.0,,1014.6,
23.1,20.0,28.9,0.3,0.0,232.0,8.5,,1012.8,
24.3,19.4,30.0,7.1,0.0,256.0,7.1,,1011.1,
23.4,20.6,26.7,5.3,0.0,18.0,7.6,,1013.5,
24.1,19.4,29.4,0.0,0.0,289.0,7.4,,1017.2,
25.4,20.6,31.1,0.0,0.0,246.0,12.8,,1014.7,
26.7,23.3,31.7,0.0,0.0,249.0,10.2,,1013.9,
26.4,23.3,31.7,0.0,0.0,232.0,8.8,,1017.2,
27.8,23.9,32.2,0.0,0.0,258.0,7.8,,1015.4,
27.6,23.9,32.8,0.0,0.0,260.0,12.6,,1009.9,
24.3,20.6,28.3,0.0,0.0,307.0,3.3,,1013.4,
26.3,21.1,32.8,8.6,0.0,268.0,11.3,,1008.5,
25.5,22.2,31.1,0.5,0.0,247.0,11.2,,1009.6,
24.6,22.8,27.8,0.0,0.0,242.0,12.4,,1002.8,
24.4,20.6,28.9,0.0,0.0,299.0,4.8,,1006.7,
22.8,20.6,25.6,0.0,0.0,62.0,10.7,,1018.2,
23.2,19.4,27.8,3.0,0.0,90.0,12.1,,1019.7,
24.3,21.7,27.8,2.8,0.0,137.0,9.0,,1013.0,
26.2,23.3,32.2,21.6,0.0,305.0,6.4,,1008.8,
26.0,21.7,31.7,0.0,0.0,282.0,7.2,,1011.6,
24.1,20.6,28.3,0.0,0.0,301.0,9.5,,1021.3,
23.6,20.0,28.9,0.0,0.0,223.0,10.7,,1021.5,
23.4,20.6,27.2,0.0,0.0,206.0,10.5,,1019.5,
24.2,21.7,28.9,0.0,0.0,297.0,6.2,,1021.0,
24.3,22.2,27.2,0.0,0.0,103.0,8.2,,1025.1,
24.9,23.3,28.3,36.3,0.0,2.0,9.5,,1023.1,
24.0,20.6,27.2,0.0,0.0,14.0,10.5,,1021.3,
20.7,18.3,23.3,0.0,0.0,77.0,14.4,,1025.5,
22.0,18.3,25.6,0.0,0.0,112.0,13.1,,1020.1,
22.9,18.3,26.1,0.0,0.0,321.0,7.5,,1019.3,
17.6,13.9,22.2,0.0,0.0,76.0,12.9,,1026.3,
19.2,15.6,23.3,0.0,0.0,234.0,11.9,,1023.3,
21.4,18.9,25.0,0.0,0.0,233.0,9.6,,1017.0,
20.5,17.2,23.3,0.0,0.0,7.0,12.2,,1015.0,
16.2,11.7,20.6,0.0,0.0,6.0,12.6,,1026.0,
16.1,12.2,20.0,0.0,0.0,40.0,19.7,,1032.4,
16.8,12.8,21.1,0.0,0.0,51.0,14.5,,1033.3,
18.1,12.2,25.0,0.0,0.0,336.0,5.6,,1019.5,
21.7,16.1,28.3,0.0,0.0,284.0,4.2,,1011.8,
21.2,17.8,24.4,0.0,0.0,272.0,6.6,,1015.2,
20.9,17.8,25.6,0.0,0.0,263.0,5.9,,1018.8,
21.0,18.9,23.9,0.0,0.0,102.0,8.4,,1018.7,
22.6,20.0,27.2,1.3,0.0,21.0,7.3,,1015.2,
22.7,21.1,26.7,0.5,0.0,191.0,10.7,,1012.9,
21.7,20.6,23.3,19.0,0.0,150.0,7.5,,1010.9,
19.6,16.7,22.2,18.5,0.0,229.0,21.1,,1005.8,
19.3,16.7,22.8,0.5,0.0,254.0,15.6,,1012.9,
17.2,14.4,21.1,0.3,0.0,268.0,8.7,,1015.5,
16.8,13.3,21.1,0.0,0.0,296.0,7.2,,1022.0,
14.4,8.3,20.6,0.0,0.0,50.0,9.7,,1023.1,
16.3,10.6,21.7,0.0,0.0,11.0,10.8,,1020.0,
18.0,14.4,22.2,0.0,0.0,253.0,11.7,,1019.1,
19.3,16.1,23.9,0.0,0.0,245.0,16.0,,1008.0,
16.7,13.9,20.6,0.0,0.0,296.0,7.1,,1014.6,
16.9,12.2,22.8,0.0,0.0,248.0,10.6,,1021.8,
18.8,15.6,21.7,0.0,0.0,248.0,18.0,,1016.3,
18.6,16.7,20.0,0.3,0.0,42.0,14.5,,1018.8,
