Date,Moon Phase
2023-01-01,69.92453002929688
2023-01-02,78.70805358886719
2023-01-03,86.1792221069336
2023-01-04,92.14423370361328
2023-01-05,96.4620132446289
2023-01-06,99.041259765625
2023-01-07,99.83981323242188
2023-01-08,98.86372375488281
2023-01-09,96.1641616821289
2023-01-10,91.83212280273438
2023-01-11,85.99207305908203
2023-01-12,78.79698181152344
2023-01-13,70.42761993408203
2023-01-14,61.09844970703125
2023-01-15,51.07152557373047
2023-01-16,40.67774200439453
2023-01-17,30.340763092041016
2023-01-18,20.593137741088867
2023-01-19,12.067646026611328
2023-01-20,5.4449944496154785
2023-01-21,1.3498886823654175
2023-01-22,0.21554696559906006
2023-01-23,2.1688523292541504
2023-01-24,6.993699073791504
2023-01-25,14.192781448364258
2023-01-26,23.11405372619629
2023-01-27,33.081607818603516
2023-01-28,43.4862060546875
2023-01-29,53.824256896972656
2023-01-30,63.697994232177734
2023-01-31,72.79605865478516
2023-02-01,80.86981201171875
2023-02-02,87.71414184570312
2023-02-03,93.15589904785156
2023-02-04,97.05010223388672
2023-02-05,99.28192138671875
2023-02-06,99.77201080322266
2023-02-07,98.48240661621094
2023-02-08,95.4208984375
2023-02-09,90.64321899414062
2023-02-10,84.25361633300781
2023-02-11,76.40609741210938
2023-02-12,67.30889129638672
2023-02-13,57.23458480834961
2023-02-14,46.53618621826172
2023-02-15,35.66539001464844
2023-02-16,25.183151245117188
2023-02-17,15.746761322021484
2023-02-18,8.056466102600098
2023-02-19,2.7556650638580322
2023-02-20,0.30470210313796997
2023-02-21,0.8756946921348572
2023-02-22,4.31858491897583
2023-02-23,10.215179443359375
2023-02-24,17.99159049987793
2023-02-25,27.03688621520996
2023-02-26,36.78814697265625
2023-02-27,46.770179748535156
2023-02-28,56.59902572631836
2023-03-01,65.96529388427734
2023-03-02,74.61117553710938
2023-03-03,82.30970764160156
2023-03-04,88.85062408447266
2023-03-05,94.03439331054688
2023-03-06,97.67431640625
2023-03-07,99.60540771484375
2023-03-08,99.69770812988281
2023-03-09,97.87117004394531
2023-03-10,94.10908508300781
2023-03-11,88.46817779541016
2023-03-12,81.08502960205078
2023-03-13,72.18032836914062
2023-03-14,62.06306838989258
2023-03-15,51.135772705078125
2023-03-16,39.89844512939453
2023-03-17,28.94388771057129
2023-03-18,18.933109283447266
2023-03-19,10.540316581726074
2023-03-20,4.367196559906006
2023-03-21,0.8445769548416138
2023-03-22,0.15579639375209808
2023-03-23,2.2145233154296875
2023-03-24,6.706314563751221
2023-03-25,13.17327880859375
2023-03-26,21.10628890991211
2023-03-27,30.015838623046875
2023-03-28,39.47022247314453
2023-03-29,49.104591369628906
2023-03-30,58.611053466796875
2023-03-31,67.72006225585938
2023-04-01,76.18067932128906
2023-04-02,83.74467468261719
2023-04-03,90.15777587890625
2023-04-04,95.1600112915039
2023-04-05,98.49630737304688
2023-04-06,99.93669891357422
2023-04-07,99.30340576171875
2023-04-08,96.49986267089844
2023-04-09,91.53543090820312
2023-04-10,84.5407943725586
2023-04-11,75.77172088623047
2023-04-12,65.60243225097656
2023-04-13,54.51145553588867
2023-04-14,43.061973571777344
2023-04-15,31.87539291381836
2023-04-16,21.594257354736328
2023-04-17,12.831207275390625
2023-04-18,6.106653690338135
2023-04-19,1.7869900465011597
2023-04-20,0.041623979806900024
2023-04-21,0.8344660401344299
2023-04-22,3.953193426132202
2023-04-23,9.064895629882812
2023-04-24,15.778670310974121
2023-04-25,23.69777488708496
2023-04-26,32.452205657958984
2023-04-27,41.71104431152344
2023-04-28,51.17896270751953
2023-04-29,60.5828742980957
2023-04-30,69.65434265136719
2023-05-01,78.11256408691406
2023-05-02,85.65222930908203
2023-05-03,91.9407730102539
2023-05-04,96.62904357910156
2023-05-05,99.37820434570312
2023-05-06,99.901611328125
2023-05-07,98.01459503173828
2023-05-08,93.67993927001953
2023-05-09,87.03507995605469
2023-05-10,78.39244079589844
2023-05-11,68.21334838867188
2023-05-12,57.064491271972656
2023-05-13,45.56873321533203
2023-05-14,34.35835647583008
2023-05-15,24.03360366821289
2023-05-16,15.125388145446777
2023-05-17,8.061568260192871
2023-05-18,3.1393001079559326
2023-05-19,0.5089070796966553
2023-05-20,0.1745203137397766
2023-05-21,2.0127408504486084
2023-05-22,5.805008888244629
2023-05-23,11.275369644165039
2023-05-24,18.124814987182617
2023-05-25,26.055892944335938
2023-05-26,34.78498077392578
2023-05-27,44.042659759521484
2023-05-28,53.564491271972656
2023-05-29,63.075439453125
2023-05-30,72.27169036865234
2023-05-31,80.80479431152344
2023-06-01,88.27454376220703
2023-06-02,94.23846435546875
2023-06-03,98.24510955810547
2023-06-04,99.89300537109375
2023-06-05,98.9061050415039
2023-06-06,95.20441436767578
2023-06-07,88.94317626953125
2023-06-08,80.50337219238281
2023-06-09,70.43670654296875
2023-06-10,59.386871337890625
2023-06-11,48.013160705566406
2023-06-12,36.9333381652832
2023-06-13,26.689311981201172
2023-06-14,17.730070114135742
2023-06-15,10.404088020324707
2023-06-16,4.956151962280273
2023-06-17,1.5272868871688843
2023-06-18,0.15906628966331482
2023-06-19,0.8037979602813721
2023-06-20,3.34060001373291
2023-06-21,7.5952982902526855
2023-06-22,13.360556602478027
2023-06-23,20.41241455078125
2023-06-24,28.52027130126953
2023-06-25,37.448665618896484
2023-06-26,46.95051574707031
2023-06-27,56.752803802490234
2023-06-28,66.53730010986328
2023-06-29,75.9209976196289
2023-06-30,84.44447326660156
2023-07-01,91.57965087890625
2023-07-02,96.7694091796875
2023-07-03,99.50432586669922
